Título do trabalho,Link,Veículo,Autores(as) do trabalho,Resumo do trabalho
A VOZ DO PRESIDENTE: SAIBA O QUE SE PASSA NA CABEÇA DE JAIR BOLSONARO,https://www.metropoles.com/materias-especiais/a-voz-do-presidente-saiba-o-que-se-passa-na-cabeca-de-jair-bolsonaro,Metrópoles,"LILIAN TAHAN, PRISCILLA BORGES, MARIA EUGÊNIA, RAFAELA LIMA, RICARDO TAFFNER, LUCAS MARCHESINI, JULIANA AFIONI, Isabella Almada, Tauã Medeiros, Gabriel Pereira, GUI PRÍMOLA, GUI PRÍMOLA, ALLAN RABELO, ANDRÉ MARQUES, SAULO MARQUES","""Em Brasília, 19 horas. Não é a Voz do Brasil, tá ok? É a voz do presidente"". De um jeito muito característico, Jair Messias Bolsonaro (PSL) aparece semanalmente nas suas tradicionais lives de quinta-feira. Sentado atrás de uma mesa em algum lugar do mundo, surge sozinho ou ao lado de convidados, mas sempre acompanhado de uma intérprete – exigência da primeira-dama, Michelle Bolsonaro. Nessas transmissões ao vivo, que duram de três minutos a uma hora, ele conduz a pauta, fala o que deseja e aquilo que vem à cabeça, conta piadas, provoca ministros e faz críticas abertas aos adversários e à imprensa.

Para entender o que realmente interessa ao presidente da República, o (M)Dados fez uma análise completa de todas as lives apresentadas às quintas-feiras neste ano até 19 de setembro – a primeira transmissão após a última cirurgia à qual foi submetido por conta da facada. Os gráficos serão atualizados mensalmente ao decorrer da atual gestão, a fim de que sirvam como um relevante material de observação sobre o governo Bolsonaro.

Quais são as palavras mais faladas pelo capitão (como é comumente chamado por seus aliados)? Quem são os convidados mais assíduos? Quais os assuntos mais repetidos? Para responder essas questões, os vídeos passaram por degravação e processamento, sempre com a ajuda da tecnologia, para, a partir dos números, identificar as mensagens que o presidente quer passar ao seu público longe da pressão de jornalistas ou de outras situações não controladas, onde só Jair e sua equipe definem o que deve ser dito.
"
"Um ano de Bolsonaro: opinião pública, tuítes, Congresso e viagens",https://www.nexojornal.com.br/grafico/2020/01/03/Um-ano-de-Bolsonaro-opini%C3%A3o-p%C3%BAblica-tu%C3%ADtes-Congresso-e-viagens,Nexo Jornal,Gabriel Maia; Gabriel Zanlorenssi; Lucas Gomes,"No primeiro ano do governo Bolsonaro, queríamos fazer uma retrospectiva do período, por meio de uma narrativa baseada em dados. Os gráficos mostram a evolução das pesquisas de aprovação do governo, a relação entre o governo e o Congresso, a agenda de visitas a outros países, a frequência de tuítes realizados pelo presidente e quantidade de vetos do presidente que foram derrubados."
O cálculo de uma tragédia,https://www.nexojornal.com.br/especial/2020/08/08/100-mil-mortes-no-Brasil-o-c%C3%A1lculo-de-uma-trag%C3%A9dia,Nexo Jornal,Caroline Souza; Gabriel Maia; Lucas Gomes,"O trabalho abre uma série de cinco matérias especiais que abordam os impactos da covid-19 no Brasil, no momento em que a pandemia atingiu a marca de 100 mil óbitos. A publicação teve como objetivo mostrar o tamanho da perdas em vidas que se deu no país.

"
O histórico de abolição da escravidão nas Américas,https://www.nexojornal.com.br/grafico/2020/08/24/O-hist%C3%B3rico-da-aboli%C3%A7%C3%A3o-da-escravid%C3%A3o-nas-Am%C3%A9ricas,Nexo Jornal,Gabriel Zanlorenssi; Lucas Gomes,O trabalho aborda visualmente a linha do tempo da escravidão nas Américas e do tráfico transatlântico de escravizados. A ideia da publicação é dimensionar visualmente os quase quatro séculos de escravidão no continente e as datas em que ela foi abolida em cada país.
Repositório de dados - Nexo Políticas Públicas,https://github.com/Nexo-Dados/PoliticasPublicas,Nexo Jornal,Gabriel Zanlorenssi; Gabriel Maia,"O repositório de dados busca disponibilizar os dados e códigos utilizados pelas publicações da equipe de gráficos do Nexo Jornal nos materiais produzidos dentro da plataforma Nexo Políticas Públicas. O projeto é uma parceria entre o Nexo e diversos centros de pesquisas que visa aproximar o debate acadêmico e o público em geral, não só proporcionando um espaço para divulgação científica e debate, como também aprimorando a comunicação utilizada e colaborando para o uso de evidências na elaboração de políticas públicas no país. 
"
Dezesseis usinas de etanol já entraram em consulta pública para certificação no RenovaBio,https://www.novacana.com/n/industria/usinas/dezesseis-usinas-etanol-entraram-consulta-publica-certificacao-renovabio-120919 ,novaCana,Bianca Mendes Rati; Gabrielle Rumor Koster; Rafaella Sigolo Coury; Renata Bossle,"A reportagem trouxe um panorama das primeiras certificações das usinas de etanol que entraram em consulta pública para o Política Nacional de Biocombustíveis, definida pelo Ministério de Minas e Energia. O objetivo do programa é incentivar a produção de biocombustíveis e reduzir a emissão de carbono na atmosfera. Cada tonelada de carbono equivalente que deixa de ser emitida é convertida em um crédito, o chamado CBio, o qual deve ser comercializado pelas usinas. 

"
[Ranking] As usinas que conseguem manter etanol estocado por mais e menos tempo,https://www.novacana.com/n/industria/usinas/ranking-usinas-conseguem-manter-etanol-estocado-mais-menos-tempo-280720 ,novaCana,Bianca Mendes Rati; Gabrielle Rumor Koster; Lais Mizuta Fraça; Rafaella Sigolo Coury; Renata Bossle,"A reportagem comparou a estrutura de armazenamento das usinas de etanol e as capacidades de produção diária autorizadas pela Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP). Também calculou a relação entre a capacidade de estocagem e a produção efetiva de cada usina durante a safra 2019/20. "
Mix de produção 2020/21: O que esperar para a próxima safra de cana-de-açúcar,https://www.novacana.com/n/cana/safra/mix-producao-2020-21-esperar-proxima-safra-cana-de-acucar-310320,novaCana,"Rafaella Coury,  Renata Bossle, Gabrielle Rumor Koster, Bianca Rati e Lais Mizuta","Este texto leva em consideração o início da safra de cana-de-açúcar brasileira (que ocorre oficialmente em 1º de abril) e as possibilidades para a produção de açúcar. Para este ano, diversos fatores influenciaram em uma produção inesperada, mais alta que a vista nos anos anteriores. "
Análise das safras 2012/13 a 2018/19 pelo Itaú BBA evidencia disparidade do setor,https://www.novacana.com/n/frases-graficos/analise-das-safras-2012-13-a-2018-19-pelo-itau-bba-evidencia-disparidade-do-setor-20200109,novaCana,Bianca Mendes Rati; Gabrielle Rumor Koster; Rafaella Sigolo Coury; Renata Bossle,"O conteúdo trouxe, dentro de uma animação, dados de Ebitda (lucros antes de juros, impostos, depreciação e amortização) por tonelada e dívida líquida por tonelada das usinas de etanol da safra 2012/13 até a 2018/19, conforme dados do Itaú BBA. Os dois indicadores que servem como termômetro de como anda a saúde financeira das empresas a partir da classificação deles em quatro grupos. "
Quantas pessoas são necessárias para moer um milhão de toneladas de cana?,https://www.novacana.com/n/industria/usinas/quantas-pessoas-necessarias-moer-milhao-toneladas-cana-090620 ,novaCana,Bianca Mendes Rati; Gabrielle Rumor Koster; Lais Mizuta França; Rafaella Sigolo Coury; Renata Bossle,"A reportagem foi realizada a partir de dados de um estudo feito pela consultoria Wiabiliza, analisando o número de colaboradores necessários para moer um milhão de toneladas de cana-de-açúcar e a remuneração destes trabalhadores, por área. Também apresentou a incidência de cargos nas áreas financeira, administrativa e de recursos humanos."
"Cana-de-açúcar transgênica resulta na diminuição dos custos de produção, diz CTC",https://www.novacana.com/n/cana/variedades/cana-de-acucar-transgenica-resulta-diminuicao-custos-producao-ctc-140720,novaCana,"Rafaella Coury,  Renata Bossle, Gabrielle Rumor Koster, Bianca Rati e Lais Mizuta","O mercado das variedades de cana-de-açúcar é bem amplo e vem se desenvolvendo desde a década de 90. A questão é que cada variedade tem seu benefício ou apresenta certa dificuldade em relação ao plantio e à colheita. As canas geneticamente modificadas, por sua vez, estão há pouco tempo no mercado e ainda precisam ser mais difundidas. O texto traz os benefícios de uma delas no combate das pragas."
As 30 maiores exportadoras de açúcar em 2019 – ranking das empresas e evolução,https://www.novacana.com/n/acucar/exportacao/30-maiores-exportadoras-acucar-2019-ranking-empresas-evolucao-190320 ,novaCana,Bianca Mendes Rati; Gabrielle Rumor Koster; Lais Mizuta França; Rafaella Sigolo Coury; Renata Bossle; Ricardo Affonso,"A reportagem apresenta o ranking das maiores empresas exportadoras de açúcar em 2019, com variações em relação ao ano anterior além de evolução de volumes ao longo dos anos. Também apresenta um infográfico interativo com a movimentação do açúcar das cinco maiores exportadoras,  mostrando qual empresa vendeu qual volume para qual trading e para qual país. "
Panorama do etanol de milho: Números inéditos detalham a produção com o grão,https://www.novacana.com/n/etanol/mercado/panorama-etanol-milho-numeros-ineditos-trazem-dados-producao-grao-180820,novaCana,"Rafaella Coury,  Renata Bossle, Gabrielle Rumor Koster, Bianca Rati e Lais Mizuta","Utilizando dados inéditos divulgados pela ANP, foi feito um panorama sobre a produção de etanol de milho brasileira, um setor recente que vem crescendo ao longo dos anos - e promete crescer ainda mais. Foram trazidos dados recentes de produção, além de um histórico das usinas já existentes e de previsões para as próximas."
Censo dos canaviais: Falta de investimentos no campo mantém índices negativos,https://www.novacana.com/n/cana/variedades/217-usinas-6-milhoes-hectares-maior-censo-dos-canaviais-demonstra-estagnacao-20200213,novaCana,"Rafaella Coury,  Renata Bossle, Gabrielle Rumor Koster, Bianca Rati e Lais Mizuta","O Instituto Agronômico de Campinas faz, anualmente, uma pesquisa com os plantadores de cana-de-açúcar do país para investigar quais variedades eles deram preferência no plantio da safra em questão. Nosso trabalho é analisar essa pesquisa e traduzi-la em um texto jornalístico, trazendo as principais informações para os produtores brasileiros."
Intenção de plantio de cana para colheita em 2020/21 traz predominância de variedades jovens,https://www.novacana.com/n/cana/plantio/intencao-plantio-cana-2020-21-predominancia-variedades-mais-jovens-020620,novaCana,"Rafaella Coury,  Renata Bossle, Gabrielle Rumor Koster, Bianca Rati e Lais Mizuta","O Instituto Agronômico de Campinas faz, anualmente, uma pesquisa com os plantadores de cana-de-açúcar do país, procurando entender quais os caminhos que eles tomarão no sentido das variedades escolhidas. Nosso trabalho é analisar essa pesquisa e traduzi-la em um texto jornalístico, trazendo as principais informações para os produtores brasileiros."
Resultados de 14 sucroenergéticas em análise: 20 indicadores detalham a safra 2019/20,https://www.novacana.com/n/industria/financeiro/resultados-14-sucroenergeticas-analise-20-indicadores-detalham-safra-2019-20-250820,novaCana.com,Renata Bossle; Gabrielle Rumor Koster; Rafaella Coury; Bianca Rati; Lais Mizuta,"Esta reportagem reuniu dados divulgados em Diário Oficial de uma série de empresas, acompanhados de informações adicionais divulgadas pelas próprias companhias (espontaneamente ou quando solicitadas pela reportagem). O objetivo era expor números que dificilmente se tornam de conhecimento público e comparar o desempenho financeiro e operacional de sucroenergéticas de diferentes portes. Os indicadores foram calculados pela própria reportagem a partir dos dados. Sempre que possível, também foram analisados relatórios detalhados das companhias (disponibilizados aos investidores) e realizadas entrevistas de apoio às informações."
"Com prazo próximo ao fim, 117 usinas ainda têm documentação pendente junto à ANP",https://www.novacana.com/n/industria/usinas/prazo-proximo-fim-117-usinas-documentacao-pendente-anp-230720,novaCana.com,Renata Bossle; Gabrielle Rumor Koster; Rafaella Coury; Bianca Rati; Lais Mizuta,"Esta reportagem foi desenvolvida pouco antes do fim de um prazo de oito anos dado a usinas sucroenergéticas para apresentação de documentos fiscais. O texto apresenta quais companhias ainda não entregaram os documentos, quais são as pendências, o possível impacto do cancelamento destas unidades para a produção brasileira de etanol e observa a situação dos maiores grupos sucroenergéticos do país. Também foram observadas as autorizações canceladas nos últimos três (período em que o prazo foi estendido) e as companhias que, apesar de terem declarado uma pendência inicial, conseguiram regularizar suas situações. "
Grandes grupos do setor sucroenergético têm potencial para investir R$ 20 bilhões até 2030,https://www.novacana.com/n/industria/financeiro/grandes-grupos-setor-sucroenergetico-potencial-investir-r-20-bilhoes-2030-171019 ,novaCana.com,Renata Bossle; Gabrielle Rumor Koster; Rafaella Coury; Bianca Rati,"Este texto e os gráficos que o acompanham foram desenvolvidos após uma palestra realizada pela sócia-associada da MBAgro, Giovana Araújo. Os números foram considerados de grande relevância para o público leitor do novaCana – que é especializado no setor de açúcar e etanol –, porém, a apresentação original era muito técnica e de difícil compreensão para pessoas que não são da área financeira. Desta forma, o objetivo foi “traduzir” a apresentação de uma forma mais acessível."
Painel do Coronavírus: a evolução da pandemia em SC,https://www.nsctotal.com.br/coronavirus/mapa-de-evolucao-do-virus,NSC Total,"Cristian Edel Weiss, Bruno Scheibler, Thiago Lúcio Bittencourt Thomaz, Clarissa Battistella, Guilherme Simon Fernandes, Jean Laurindo, Lariane Cagnini, Lucas Paraizo","Diante da falta de transparência do governo de SC desde o primeiro caso confirmado de covid-19, em 12 de março, colocamos de pé em 11 dias o primeiro painel com base de dados da própria redação para mostrar ao público, de modo didático e simples, o avanço da pandemia em SC. Após pressão da sociedade, o governo estadual liberou dados abertos em junho, mas foi pela missão de abastecer o Painel diariamente, percebemos e denunciamos inconsistências graves nos dados, como mortes duplicadas, casos curados dados como mortos, óbitos posteriormente removidos por dúvidas nos diagnósticos e contradições no discurso público."
Simulação mostra quais crianças são adotadas (e quais não são) no Brasil,https://arte.estadao.com.br/brasil/adocao/criancas/,O Estado de S. Paulo,Mariana Cunha; Bruno Ponceano; Vinicius Sueiro; Júlia Marques,"Criamos uma ferramenta que simula adoções de crianças para contextualizar uma das dificuldades no processo de adoção: a predileção dos pais. O simulador realiza um ""match"" entre os futuros pais e filhos, a partir de um algoritmo criado pelo Estadão, que utiliza dados reais de predileção dos pais, obtido no Cadastro Nacional de Adoção (CNA), e as características da criança e adolescente, pelo IBGE. Mostramos que, apesar da grande busca por meninas brancas de até 2 anos, o perfil que você encontraria em um abrigo seria o de um menino pardo, de 14 anos e que possui um irmão."
Alagamentos nos quatro primeiros meses de 2019 sobem 65% em São Paulo,https://arte.estadao.com.br/sao-paulo/10-anos-de-chuvas/,O Estado de S. Paulo,Mariana Cunha; Augusto Conconi; Bruno Ponceano; Vinícius Sueiro; Renata Okumura (colab.); Renan Souza (colab.);,"A partir do gancho de todo início de ano sobre os alagamentos na capital paulista, quisemos explorar uma metáfora visual das chuvas e analisar os dados de alagamentos em São Paulo. Os dados de alagamentos também geraram uma ferramenta onde o leitor pode conferir quais eram as ruas que mais alagam na cidade, até janeiro de 2020, para desviar delas durante uma chuva intensa, por exemplo. Durante a apuração, percebemos a falta de dados meteorológicos no Brasil e como isso pode afetar o planejamento do país. "
A saúde do presidente da República é questão de interesse público: a ofensiva jornalística que levou à divulgação dos exames de covid-19 de Jair Bolsonaro,"Relação cronológica de reportagens publicadas  27 de abril de 2020: ‘Estado’ garante na Justiça direito de obter laudos de exame de Bolsonaro https://politica.estadao.com.br/noticias/geral,estado-garante-na-justica-direito-de-obter-laudos-de-exame-de-bolsonaro,70003285042  27 de abril de 2020: AGU vai recorrer de decisão que garantiu ao 'Estado' acesso a exames de Bolsonaro https://politica.estadao.com.br/noticias/geral,agu-vai-recorrer-de-decisao-que-garantiu-ao-estado-acesso-a-resultados-de-exames-de-bolsonaro,70003285110  27 de abril de 2020: 'Saúde de Bolsonaro é de interesse do País', diz Ayres Britto sobre decisão favorável ao ‘Estado’ https://politica.estadao.com.br/noticias/geral,saude-de-bolsonaro-e-de-interesse-do-pais-diz-ayres-britto-sobre-decisao-favoravel-ao-estado,70003285146  28 de abril de 2020: OAB diz que é ‘injustificável’ Bolsonaro ainda não ter divulgado o resultado de exame de covid-19 https://politica.estadao.com.br/noticias/geral,oab-diz-que-e-injustificavel-bolsonaro-ainda-nao-ter-divulgado-o-resultado-de-exame-de-covid-19,70003285981  28 de abril de 2020: ‘Quero mostrar que eu tenho o direito de não mostrar os exames’, diz Bolsonaro https://politica.estadao.com.br/noticias/geral,quero-mostrar-que-eu-tenho-o-direito-de-nao-mostrar-os-exames-diz-bolsonaro-,70003286445  30 de abril de 2020: AGU diz à Justiça que Bolsonaro testou negativo, mas não entrega exame https://politica.estadao.com.br/blogs/fausto-macedo/agu-diz-a-justica-que-bolsonaro-testou-negativo-mas-nao-entrega-exame/  30 de abril de 2020: Após Bolsonaro não entregar exame, ‘Estadão’ pede apuração de descumprimento de ordem https://politica.estadao.com.br/blogs/fausto-macedo/apos-agu-nao-entregar-exame-de-bolsonaro-estadao-pede-apuracao-de-descumprimento-de-ordem-judicial/  30 de abril de 2020: Juíza não aceita relatório médico e dá 48 horas para Bolsonaro entregar exames https://politica.estadao.com.br/blogs/fausto-macedo/juiza-nao-aceita-relatorio-medico/  30 de abril de 2020: Bolsonaro diz que 'talvez' tenha sido contaminado pelo coronavírus https://politica.estadao.com.br/noticias/geral,bolsonaro-diz-que-talvez-tenha-sido-contaminado-pelo-coronavirus,70003288983  30 de abril de 2020: Relatório médico apresentado por Bolsonaro é assinado por médicos da Presidência https://politica.estadao.com.br/blogs/fausto-macedo/relatorio-medico-apresentado-por-bolsonaro-e-assinado-por-medicos-da-presidencia/  2 de maio de 2020: TRF-3 suspende por 5 dias decisão que obrigava Bolsonaro a entregar exame de coronavírus https://politica.estadao.com.br/blogs/fausto-macedo/trf-3-suspende-por-5-dias-decisao-bolsonaro-exame/  2 de maio de 2020: Presidente do TRF-3 nega recurso de Bolsonaro contra divulgação de exame https://politica.estadao.com.br/blogs/fausto-macedo/presidente-do-trf-3-nega-recurso-de-bolsonaro-contra-divulgacao-de-exame/  06 de maio de 2020: TRF-3 manda Bolsonaro entregar exames de coronavírus https://politica.estadao.com.br/blogs/fausto-macedo/trf-3-manda-bolsonaro-entregar-exames-de-coronavirus/  07 de maio de 2020: Exame de Bolsonaro é informação de interesse público, diz MPF https://politica.estadao.com.br/blogs/fausto-macedo/exame-de-bolsonaro-e-informacao-de-interesse-publico-diz-mpf/   7 de maio de 2020: Exame de Bolsonaro: Presidente do STJ antecipa posição contrária sobre caso que pode julgar https://politica.estadao.com.br/blogs/fausto-macedo/exame-de-bolsonaro-presidente-do-stj-antecipa-posicao-contraria-sobre-caso-que-pode-julgar/  8 de maio de 2020: Exame: Após presidente do STJ antecipar decisão pró-Bolsonaro, AGU recorre à Corte: https://politica.estadao.com.br/blogs/fausto-macedo/exame-apos-presidente-do-stj-antecipar-decisao-pro-bolsonaro-agu-recorre-a-corte/  8 de maio de 2020: Estadão pede impedimento de Noronha: https://politica.estadao.com.br/blogs/fausto-macedo/estadao-pede-impedimento-de-noronha-e-diz-que-nao-cabe-recurso-contra-decisao-que-obrigou-bolsonaro-a-divulgar-exame/  11 de maio de 2020: Advogado acusa presidente do STJ de prevaricação por ter antecipado decisão sobre exame de Bolsonaro https://politica.estadao.com.br/noticias/geral,advogado-acusapresidente-do-stj-de-prevaricacao-por-ter-antecipado-decisao-sobre-exame-de-bolsonaro,70003299565  11 de maio de 2020: ‘Estadão’ recorre ao STF para obrigar Bolsonaro a divulgar exame de covid-19 https://politica.estadao.com.br/noticias/geral,estadao-recorre-ao-stf-para-obrigar-bolsonaro-a-divulgar-exame-de-covid-19,70003299596  12 de maio de 2020: Lewandowski vai relatar no Supremo ação que pode obrigar Bolsonaro a apresentar exame de Covid-19 https://politica.estadao.com.br/blogs/fausto-macedo/lewandowski-vai-relatar-no-supremo-acao-que-pode-obrigar-bolsonaro-a-apresentar-exame-de-covid-19/  12 de maio de 2020:  AGU diz que entregou exames de Bolsonaro ao Supremo https://politica.estadao.com.br/blogs/fausto-macedo/agu-informa-ao-supremo-que-bolsonaro-vai-entregar-exames/  13 de maio de 2020: Defesa de Bolsonaro descobre novo teste de covid-19 e diz ter encaminhado 3 exames ao STF https://politica.estadao.com.br/blogs/fausto-macedo/defesa-de-bolsonaro-descobre-novo-teste-de-bolsonaro-e-diz-ter-encaminhado-3-exames-ao-stf/  13 de maio de 2020: Lewandowski determina que exames de Bolsonaro sejam divulgados https://politica.estadao.com.br/blogs/fausto-macedo/lewandowski-determina-que-exames-de-bolsonaro-sejam-divulgados/  13 de maio de 2020: Após disputa judicial, Bolsonaro entrega exames que deram negativo; veja resultado: https://politica.estadao.com.br/blogs/fausto-macedo/apos-disputa-judicial-bolsonaro-entrega-exames-que-deram-negativo/  13 de maio de 2020: Laudo da Fiocruz apresentado por Bolsonaro não tem CPF, RG nem data de nascimento; Anvisa proíbe: https://politica.estadao.com.br/blogs/fausto-macedo/laudo-da-fiocruz-apresentado-por-bolsonaro-nao-tem-cpf-rg-nem-data-de-nascimento-anvisa-proibe/  13 de maio de 2020: Apenas uma pessoa no País tem o mesmo nome usado por Bolsonaro em examehttps://politica.estadao.com.br/blogs/fausto-macedo/apenas-uma-pessoa-no-pais-tem-o-mesmo-nome-usado-por-bolsonaro-em-exame/  15 de maio de 2020: ‘Estadão’ entra com recurso no STF para certificar que Bolsonaro entregou todos os exames de covid-19 https://politica.estadao.com.br/blogs/fausto-macedo/estadao-entra-com-recurso-no-stf-para-certificar-que-bolsonaro-entregou-todos-os-exames-de-covid-19/  19 de maio de 2020: ‘Estadão’ pede à Justiça que cobre explicações de Fiocruz, Sabin e HFA sobre exames entregues pela defesa de Bolsonaro https://politica.estadao.com.br/blogs/fausto-macedo/estadao-pede-a-justica-que-cobre-explicacoes-de-fiocruz-sabin-e-hfa-sobre-exames-entregues-pela-defesa-de-bolsonaro/    26 de junho de 2020: João Otávio de Noronha atendeu aos interesses do governo Bolsonaro em 87,5% das decisões individuais https://politica.estadao.com.br/noticias/geral,presidente-do-stj-atendeu-aos-interesses-do-governo-bolsonaro-em-87-5-das-decisoes-individuais,70003345750","O Estado de S. Paulo (site, Broadcast e edição impressa)",Rafael Moraes Moura; Lorenna Rodrigues da Gama-Rosa Cardoso,"Entre os dias 7 e 10 de março, uma comitiva do governo brasileiro, capitaneada pelo presidente Jair Bolsonaro, se reuniu na Flórida com o presidente dos EUA, Donald Trump, e outras lideranças para tratar de investimentos bilaterais. Quando Bolsonaro retornou ao Brasil, o País vivia o início da pandemia do novo coronavírus e tinha, à época, 162 casos confirmados da doença - e nenhum registro oficial de mortes. O cenário mudou logo depois. Um a um, ministros, secretários e outros auxiliares do Palácio do Planalto que acompanharam o mandatário brasileiro na viagem à Flórida anunciaram que haviam testado positivo para a doença. Após o retorno a Brasília, um total de 23 integrantes da comitiva nacional haviam sido infectados pela covid-19. Naquele momento, começaram a pairar dúvidas sobre o verdadeiro diagnóstico do presidente da República. Em declarações públicas, Bolsonaro minimizava a gravidade da pandemia, chamando-a de “gripezinha”, “resfriadinho” e até “fantasia”. Diante da negativa do mandatário em apresentar informação de interesse público, o jornal “O Estado de S. Paulo"" deflagrou uma ofensiva para fazer valer o direito dos brasileiros à informação fidedigna sobre a saúde do comandante de seu País. Uma batalha jornalística e jurídica que incluiu pedidos oficiais ao governo, solicitações de dados pela Lei de Acesso à Informação, entrevistas com médicos e responsáveis por laboratórios e um processo que chegou ao Supremo Tribunal Federal (STF), instância máxima do Poder Judiciário. A ação resultou em um fato inédito: a entrega de exames por um presidente brasileiro e, em um segundo momento, a posterior divulgação de seu resultado positivo para o coronavírus. "
Curitiba em Números,https://oexpresso.curitiba.br/curitibaemnumeros/,O Expresso Curitiba,Estelita Hass Carazzai; Gustavo Panacioni,"O especial Curitiba em números teve como objetivo explorar os últimos dados populacionais divulgados pelo IBGE, de forma visual e criativa. A página destaca de que forma Curitiba cresceu nos últimos 30 anos, identificando os principais polos de exploração imobiliária, por bairro, e as modificações demográficas por que passou a cidade nesse período."
Monitor COVID-19 Curitiba,https://oexpresso.curitiba.br/monitor-covid-19-curitiba/,O Expresso Curitiba,Estelita Hass Carazzai; Gustavo Panacioni,"O Monitor COVID-19 Curitiba é um site especial da newsletter O Expresso Curitiba, que se propõe a reunir os principais dados sobre a epidemia do novo coronavírus na capital paranaense. Além do número de casos e mortes, o trabalho inclui mapas de incidência da COVID-19 por bairro e região, a comparação da taxa de contágio entre capitais brasileiras ao longo do tempo, entre outras informações.	"
"""Divisão de recursos desigual""",https://oglobo.globo.com/brasil/no-governo-bolsonaro-prefeitos-de-partidos-de-oposicao-recebem-menos-verbas-federais-1-24589956,O Globo,Natália Portinari,"Com base em dados do SIAFI obtidos pela reportagem e dados abertos do Tribunal Superior Eleitoral (TSE), foi feito um cruzamento para mostrar que prefeituras de oposição recebem menos investimentos do governo Bolsonaro do que aquelas ligadas a partidos de centro ou direita. Quando há votações sensíveis no Congresso, deputados e senadores fazem indicações de quais cidades devem receber dinheiro, em um esquema de ""apadrinhamento"". A reportagem envolveu também a apuração de bastidores para saber como funciona esse sistema em que prefeitos alinhados a Bolsonaro são beneficiados."
Termômetro da Covid,https://www.otempo.com.br/cidades/termometro-da-covid-dez-das-14-regioes-de-mg-tem-aumento-acelerado-nas-mortes-1.2371371,O TEMPO,Cristiano Martins,"O Termômetro da Covid é um gráfico interativo lançado pelo portal O TEMPO (Minas Gerais) para permitir o acompanhamento da pandemia nos níveis estadual, regional e municipal.
A visualização é atualizada diariamente e apresenta os registros de novos óbitos e casos confirmados, juntamente com a média móvel de sete dias e uma escala de cores revelando as tendêndias de momento (alta, estabilidade ou queda).	"
Gastos com a COVID-19 pela Prefeitura do Recife,https://www.gastoscovid.recife.br/,Página Web,Fernando de Barros; André Araripe; Jennyffer de Morais,Gastos COVID19 Recife é uma página web que visa apresentar de maneira simplificada os gastos por dispensa de licitação pela que estão no Portal da Transparência da Prefeitura do Recife.
De Dilma a Bolsonaro: como votam as favelas do Rio,https://pindograma.com.br/2020/09/07/favelas.html,Pindograma,Francisco Ricci,"A reportagem explora por que as favelas do Rio deixaram de votar no candidato do PT para a presidência em 2018 – e por que o apoio a Bolsonaro foi mais forte nas comunidades da Zona Oeste que nas do resto da cidade. Mostramos, através de dados, como o voto evangélico, a atuação de ONGs e as milícias explicam (ou não) essas diferenças."
Ranking de Institutos de Pesquisa do Pindograma,https://pindograma.com.br/ranking.html,Pindograma,Daniel Ferreira,Trata-se de um ranking que indica o desempenho dos institutos de pesquisa eleitoral no Brasil com critérios objetivos e transparentes.
Educação e Coronavírus,www.educacaoecoronavirus.com.br,Portal do Projeto,- Coordenação da Pesquisa: Carolina Campos; - Gestão: Andreza Adami; Sofia Fernandes; Vanessa Terra; Leilane Renovato Albuquerque; - Pesquisa: Victoria Sonnenberg - Assistência de pesquisa: Débora Lira; Leticia Souza; - Visualização de dados: Vinícius Cassio Barqueiro; - Comunicação: Ana Carolina Alves; Mônica Almeida - Colaboradores: Isadora Tortella; Leonardo Dias; Leonardo Flores; Lizandra Caldas; Luka Zanon,"“Educação e Coronavírus” foi um projeto criado para identificar e sistematizar as respostas dos estados, no âmbito da educação básica, para a pandemia da COVID-19. A plataforma serve como fonte de dados confiáveis para governos e sociedade civil, e a equipe responsável pelo desenvolvimento é composta exclusivamente por voluntários, tanto estudantes do Ensino Médio quanto profissionais ligados à área da educação. A metodologia consiste em realizar, semanalmente, mapeamentos em sites e jornais oficiais, a fim de identificar, categorizar e apresentar atos normativos publicados de modo fácil, rápido e visual. Para que os jovens possam auxiliar o time na coleta dos dados, foi desenvolvida a ""jornada do jovem pesquisador"", que tem como objetivo capacitá-los para compreender o funcionamento da máquina pública e seus principais atores.

"
